,Word,Definition
295111,epiphany,a church festival celebrated on the of january the twelfth day after christmas in commemoration of the visit of the magi of the east to bethlehem to see and worship the child jesus or as others maintain to commemorate the appearance of the star to the magi symbolizing the manifestation of christ to the gentles twelfthtide
295112,epiphany,an appearance manifestation of one s presence used especially with reference to appearances of a deity
295102,epiphany,a christian feast celebrating the manifestation of the divine nature of jesus to the gentiles as represented by the magi
924195,epiphany,a divine manifestation
957399,night-blooming_cereus,any of several cacti of the genus Cereus
883217,order_Coraciiformes,rollers; kingfishers; hornbills; hoopoes; motmots; bee eaters; todies
737616,Handmade,"""Manufactured by hand; as  handmade shoes."""
701051,Conveyancer,"""One whose business is to draw up conveyances of property  as deeds mortgages leases etc."""
815841,Stander-by,"""One who stands near; one who is present; a bystander."""
120673,overhaul,a major repair remake renovation or revision
120691,overhaul,periodic maintenance on a car or machine
120683,overhaul,to turn over for examination examine thoroughly with a view to repairs
120668,overhaul,nautical to slacken a line or to release and separate the blocks of a tackle
120690,overhaul,travel past
870922,overhaul,the act of improving by renewing and restoring
120677,overhaul,to pass overtake or travel past
120688,overhaul,make repairs renovations revisions or adjustments to
120670,overhaul,to catch up with overtake
120686,overhaul,to search a ship for contraband goods
729476,Fornicate,"""Alt. of Fornicated"""
729479,Fornicate,"""To commit fornication; to have unlawful sexual intercourse."""
925735,fruit_compote,dessert of stewed or baked fruit
217358,burn,to be or become angry an insult that really made me burn
217359,burn,to be very eager was burning with ambition
217333,burn,to irritate or inflame as by chafing or sunburn
217454,burn,cause to undergo combustion
217472,burn,undergo combustion
217434,burn,to be affected with a sensation of heat or burning pain or acridity feel excess of heat as the face burns the patient burns with a fever
217371,burn,burn in to darken part of a photograph print by exposing unmasked areas
217325,burn,to damage or injure by fire heat radiation electricity or a caustic agent burned the toast burned my skin with the acid
217429,burn,to become charred singed or scorched be injured by undue exposure to fire or a heated surface etc as milk or oatmeal burns if cooked without stirring
217391,burn,to sunburn
756739,Lign-aloes,"""Aloes wood  or agallochum. See Agallochum."""
756740,Lign-aloes,"""A fragrant tree mentioned in the Bible."""
789706,Pseudo-bulb,"""An aerial corm  or thickened stem as of some epiphytic orchidaceous plants."""
951316,Oldenburg,United States sculptor (born in Sweden); a leader of the pop art movement who was noted for giant sculptures of common objects (born in 1929)
741957,Hudibrastic,"""Similar to  or in the style of the poem """"""""Hudibras "" by Samuel Butler; in the style of doggerel verse."""
850851,damning,threatening with damnation
4114,damning,threatening with damnation
4113,damning,that condemns or exposes to condemnation or damnation as damning proof damning criticism
4111,damning,property which damns
4110,damning,present participle of damn
4112,damning,that damns damnable
729436,Formicaroid,"""Like or pertaining to the family Formicaridae or ant thrushes."""
855771,post-free,postpaid
777287,Pardale,"""A leopard."""
672827,Amnios,"""Same as Amnion."""
712279,Dished,"""of Dish"""
787655,Primate,"""The chief ecclesiastic in a national church; one who presides over other bishops in a province; an archbishop."""
787656,Primate,"""One of the Primates."""
29112,nightshade,solanum aculeatisdmum a shrubby and prickly species with yellow berries found from north carolina to florida and west to texas
29103,nightshade,any plant of the wider solanaceae family including the nightshades as well as tomato potato eggplant and deadly nightshade
29106,nightshade,a common name of many species of the genus solanum given esp
968495,nightshade,any of numerous shrubs or herbs or vines of the genus Solanum; most are poisonous though many bear edible fruit
29107,nightshade,to the solanum nigrum or black nightshade a low branching weed with small white flowers and black berries reputed to be poisonous
29104,nightshade,belladonna or deadly nightshade atropa belladonna
29111,nightshade,a prostitute
29109,nightshade,the name of a few plants of other orders as below
29113,nightshade,any of numerous shrubs or herbs or vines of the genus solanum most are poisonous though many bear edible fruit
29102,nightshade,any of the poisonous plants belonging to the genus solanum especially black nightshade or woody nightshade
952872,Joseph_Deems_Taylor,United States composer and music critic (1885-1966)
933536,New_Guinea,a Pacific island to the north of Australia; the 2nd largest island in the world; the western part is governed by Indonesia and the eastern part is Papua New Guinea
815917,Staple,"""Fit to be sold; marketable."""
815918,Staple,"""Regularly produced or manufactured in large quantities; belonging to wholesale traffic; principal; chief."""
815911,Staple,"""A loop of iron  or a bar or wire bent and formed with two points to be driven into wood to hold a hook pin or the like."""
815921,Staple,"""To sort according to its staple; as  to staple cotton."""
815905,Staple,"""A settled mart; an emporium; a city or town to which merchants brought commodities for sale or exportation in bulk; a place for wholesale traffic."""
815913,Staple,"""A small pit."""
815910,Staple,"""The fiber of wool  cotton flax or the like; as a coarse staple; a fine staple; a long or short staple."""
815906,Staple,"""Hence: Place of supply; source; fountain head."""
815909,Staple,"""Unmanufactured material; raw material."""
815916,Staple,"""Established in commerce; occupying the markets; settled; as  a staple trade."""
689265,Caesura,"""A metrical break in a verse  occurring in the middle of a foot and commonly near the middle of the verse; a sense pause in the middle of a foot. Also a long syllable on which the caesural accent rests or which is used as a foot."""
354110,oppressive,using oppression tyrannical
354104,oppressive,weighing heavily on the senses or spirit oppressive weather
354115,oppressive,weighing heavily on the senses or spirit
354108,oppressive,weighing heavily on the spirit intense or overwhelming
354113,oppressive,given or inclined to oppression tyrannical as an oppressive government
354105,oppressive,see synonyms at burdensome
354116,oppressive,marked by unjust severity or arbitrary behavior
354111,oppressive,heavy overpowering hard to be borne creating a sense of heavy burden
354103,oppressive,exercising power arbitrarily and often unjustly tyrannical
354102,oppressive,difficult to bear burdensome oppressive laws
848581,out_of_print,(of books) no longer offered for sale by a publisher
695126,Circumjacence,"""Condition of being circumjacent  or of bordering on every side."""
842248,Wreathy,"""Wreathed; twisted; curled; spiral; also  full of wreaths."""
70855,minoxidil,a vasodilator trade name loniten used to treat severe hypertension one side effect is hirsutism so it is also sold trade name rogaine as a treatment for male patterned baldness
70853,minoxidil,a vasodilator administered orally for the treatment of hypertension and used topically to promote the regrowth of hair in male pattern baldness
901100,minoxidil,a vasodilator (trade name Loniten) used to treat severe hypertension; one side effect is hirsutism so it is also sold (trade name Rogaine) as a treatment for male-patterned baldness
70854,minoxidil,the name of a compound used orally as a vasodilator to treat hypertension and topically to reverse baldness
785981,Poutingly,"""In a pouting  or a sullen manner."""
635307,olive,a dark yellowish green color that of an unripe olive
635334,olive,one of various trees of other genera in europe elæagnus angustifolia rhus cotinus and thymelæa sanamunda daphne thymelæa in the west indies bontia daphnoides ximenia americana terminalia buceras and t
635302,olive,the small ovoid fruit of this tree an important food and source of oil
635301,olive,a mediterranean evergreen tree olea europaea having fragrant white flowers usually lance shaped leathery leaves and edible drupes
635303,olive,a yellow green of low to medium lightness and low to moderate saturation
635324,olive,the fruit of the common olive tree a small ellipsoid drupe the berry bluish black in color when fully ripe
635325,olive,a tree of some other species of olea or of some other genus resembling the olive
635339,olive,evergreen tree cultivated in the mediterranean region since antiquity and now elsewhere has edible shiny black fruits
635304,olive,an evergreen tree olea europaea cultivated since ancient times in the mediterranean for its fruit and the oil obtained from it
635313,olive,the tree has been cultivated for its fruit for thousands of years and its branches are the emblems of peace
942166,ice-hockey_player,an athlete who plays hockey
