Word,Definition
fix,prepare for eating by applying heat
fix,an exemption granted after influence e g money is brought to bear
fix,set or place definitely
fix,informal terms for a difficult situation
fix,a determination of the place where something is
fix,decide upon or fix definitely
fix,a determination of the place where something is
Trillachan,"""The oyster catcher."""
element_111,a radioactive transuranic element
Gram_stain,"a staining technique used to classify bacteria; bacteria are stained with gentian violet and then treated with Gram's solution; after being decolorized with alcohol and treated with safranine and washed in water, those that retain the gentian violet are Gram-positive and those that do not retain it are Gram-negative"
Impugning,"""of Impugn"""
Melopsittacus_undulatus,small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors
Government,"""The act of governing; the exercise of authority; the administration of laws; control; direction; regulation; as  civil church or family government."""
Government,"""The mode of governing; the system of polity in a state; the established form of law."""
Government,"""The right or power of governing; authority."""
Government,"""The person or persons authorized to administer the laws; the ruling power; the administration."""
Government,"""The body politic governed by one authority; a state; as  the governments of Europe."""
Government,"""Management of the limbs or body."""
Government,"""The influence of a word in regard to construction  requiring that another word should be in a particular case."""
motorbike,a lightweight motorcycle
motorbike,a pedal bicycle that has an attached motor
motorbike,a motorcycle especially a relatively small one
motorbike,to ride a motorbike to travel by motorbike
motorbike,a light two wheeled vehicle containing a motor for propulsion
motorbike,it is lighter in construction and has a lower speed than a motorcycle
motorbike,a small motorcycle with a low frame and small weels and elevated handlebars
motorbike,a bicyle with a motor attached for propulsion
motorbike,small motorcycle with a low frame and small wheels and elevated handlebars
motorbike,ride a motorcycle
motorbike,small motorcycle with a low frame and small wheels and elevated handlebars
megaflop,(computer science) a unit for measuring the speed of a computer system
Sabbatia_campestris,prairie herb with solitary lilac-colored flowers
Belau,a chain of more than 200 islands about 400 miles long in the western central Pacific Ocean
crabwise,(of movement) at an angle
transplant,to uproot and replant a growing plant
transplant,to transfer from one place or residence to another resettle or relocate
transplant,medicine to transfer tissue or an organ from one body or body part to another
transplant,to be capable of undergoing transplantation
transplant,the act or process of transplanting
transplant,something transplanted
transplant,medicine an operation in which tissue or an organ is transplanted undergo a heart transplant surgical transplant of a cornea
transplant,to uproot a growing plant and plant it in another place
transplant,to remove something and establish its residence in another place to resettle or relocate
transplant,to transfer tissue or an organ from one body to another or from one part of a body to another
transplant,an act of uprooting and moving something
transplant,anything that is transplanted
transplant,an operation in which tissue or an organ is transplanted
transplant,a transplanted organ or tissue
transplant,someone who is not native to their area of residence
transplant,to remove and plant in another place
transplant,to remove and settle or establish for residence in another place
transplant,to plant anew in a different place
transplant,in general to remove from one place to another especially to remove and establish for residence in another place
transplant,in surgery to transfer from one part of the body or from one person to another
transplant,see transplantation
transplant,the act or process of transplanting specifically the carrying of bacterial organisms from one medium to another for purposes of culture
transplant,that which is transplanted specifically in forestry a seedling which has been transplanted once or several times
transplant,surgery tissue or organ transplanted from a donor to a recipient in some cases the patient can be both donor and recipient
transplant,place the organ of a donor into the body of a recipient
transplant,the act of removing something from one location and introducing it in another location
transplant,transfer from one place or period to another
transplant,lift and reset in another soil or situation
transplant,an operation moving an organ from one organism the donor to another the recipient
transplant,be transplantable
transplant,the act of removing something from one location and introducing it in another location
93,being three more than ninety
crotchety,capriciously stubborn or eccentric perverse
crotchety,cranky disagreeable or stubborn especially if prone to odd whims or fancies
crotchety,given to crotchets subject to whims
crotchety,characterized by odd fancies or crotchets fantastic or eccentric in thought whimsical
crotchety,having a difficult and contrary disposition
crotchety,having a difficult and contrary disposition; - Dorothy Sayers
Leucous,"""White; -- applied to albinos  from the whiteness of their skin and hair."""
timbrel,small hand drum similar to a tambourine; formerly carried by itinerant jugglers
Peal,"""A small salmon; a grilse; a sewin."""
Peal,"""To appeal."""
Peal,"""A loud sound  or a succession of loud sounds as of bells thunder cannon shouts of a multitude etc."""
Peal,"""A set of bells tuned to each other according to the diatonic scale; also  the changes rung on a set of bells."""
Peal,"""To utter or give out loud sounds."""
Peal,"""To resound; to echo."""
Peal,"""To utter or give forth loudly; to cause to give out loud sounds; to noise abroad."""
Peal,"""To assail with noise or loud sounds."""
Peal,"""To pour out."""
steeply,in a steep manner
preciosity,the quality of being fastidious or excessively refined
genus_Brugmansia,includes some plants often placed in the genus Datura: angel's trumpets
Countersway,"""A swaying in a contrary direction; an opposing influence."""
Dolabra,"""A rude ancient ax or hatchet  seen in museums."""
Dietine,"""A subordinate or local assembly; a diet of inferior rank."""
Straw-colored,"""Being of a straw color. See Straw color  under Straw n."""
eastern_cricket_frog,a cricket frog of eastern United States
Beefy,"""Having much beef; of the nature of beef; resembling beef; fleshy."""
Whot,"""Hot."""
Galatians,a New Testament book containing the epistle from Saint Paul to the Galatians
Organizability,"""Quality of being organizable; capability of being organized."""
borough_English,a former English custom by which the youngest son inherited land to the exclusion of his older brothers
Entranced,"""of Entrance"""
hornless,without horns
hornless,having no horn
hornless,having no horns
hornless,having no horns
hornless,having no horns
Foumart,"""The European polecat; -- called also European ferret  and fitchew. See Polecat."""
genus_Tilletia,a genus of fungi belonging to the family Tilletiaceae
blur,to make indistinct and hazy in outline or appearance obscure
blur,to smear or stain smudge
blur,to lessen the perception of dim for street children
blur,drugs offer the chance to blur their hopeless poverty alma guillermoprieto
blur,to become indistinct
blur,to make smudges or stains by smearing
blur,a smear or blot a smudge
blur,something that is hazy and indistinct to the sight or mind
blur,to make indistinct or hazy to obscure or dim
blur,to smear stain or smudge
blur,to become indistinct
blur,a smear smudge or blot
blur,something that appears hazy or indistinct
blur,a moral stain or blot
blur,that which obscures without effacing a stain a blot as upon paper or other substance
blur,a dim confused appearance indistinctness of vision
blur,a moral stain or blot
blur,to render obscure by making the form or outline of confused and uncertain as by soiling to smear to make indistinct and confused
blur,to cause imperfection of vision in to dim to darken
blur,to sully to stain to blemish as reputation
blur,to obscure or sully a thing with something which detracts from its fairness or beauty
blur,to sully stain blemish as to blur one s reputation
blur,to obscure without quite effacing render indistinct confuse and bedim as the outlines of a figure
blur,to dim the perception or susceptibility of make dull or insensible to impression as blurred eyesight to blur the judgment
blur,to make blurs in writing
blur,a smudge or smear such as that made by brushing writing or painting before it is dry a blot which partially defaces or obscures
blur,figuratively a blot stain or injury affecting character reputation and the like
blur,a blurred condition a dim confused appearance indistinctness
blur,a hazy or indistinct representation
blur,become vague or indistinct
blur,make unclear indistinct or blurred
blur,make dim or indistinct
blur,make a smudge on soil by smudging
blur,to make less distinct or clear
blur,become glassy lose clear vision
blur,a hazy or indistinct representation
pepper_shaker,a shaker with a perforated top for sprinkling ground pepper
out_of_sight,not accessible to view
Stimulatress,"""A woman who stimulates."""
term_of_office,the term during which some position is held
peter,to diminish slowly and come to an end dwindle
peter,often used with out their enthusiasm soon petered out
peter,vulgar slang the penis
peter,the penis
peter,to dwindle to trail off to diminish to nothing
peter,a common baptismal name for a man
peter,the name of one of the apostles
peter,to become exhausted to run out to fail used generally with out
peter,in whist to call for trumps by throwing away a higher card of a suit while holding a smaller
peter,to diminish gradually and then cease fail be come exhausted in mining to split up into branches and become lost said of a vein which runs out or disappears so that it can no longer be followed by the miner with out
peter,a kind of wine otherwise called peter sec me and peter sameene
peter,a kind of cosmetic
peter,see blue peter
peter,in whist a conventional signal indicating a call for trumps
peter,the common american coot fulica americana so called with reference to its color with an allusion to blue peter
peter,in thieves cant a traveling bag portmanteau trunk or any piece of baggage or a parcel
peter,disciple of jesus and leader of the apostles regarded by catholics as the vicar of christ on earth and first pope
peter,obscene terms for penis
peter,bible see table at bible
peter,the chief of the apostles
peter,he is traditionally regarded as the first bishop of rome
peter,a male given name
peter,the leading apostle in the new testament
peter,the epistles of peter in the new testament of the bible peter and peter attributed to st
peter,a patronymic surname
peter,obscene terms for penis
Lethargical,"""Pertaining to  affected with or resembling lethargy; morbidly drowsy; dull; heavy."""
Moderation,"""The act of moderating  or of imposing due restraint."""
Moderation,"""The state or quality of being mmoderate."""
Moderation,"""Calmness of mind; equanimity; as  to bear adversity with moderation."""
Moderation,"""The first public examinations for degrees at the University of Oxford; -- usually contracted to mods."""
medevac,the evacuation of persons usually by air transportation to a place where they can receive medical care
medevac,air transport of persons to a place where they can receive medical or surgical care medical evacuation
medevac,a helicopter or other aircraft used for such transport
medevac,to transport a patient to a place where medical care is available
medevac,the emergency transportation usually by air of patients to a medical facility
medevac,a vehicle used for emergency transportation of patients to a medical facility
medevac,trained personnel who care for patients during emergency transportation to a medical facility
medevac,to transport patients by medevac
medevac,the evacuation of persons (usually by air transportation) to a place where they can receive medical care
SLS,a caustic detergent useful for removing grease; although commonly included in personal care items (shampoos and toothpastes etc.) it can irritate skin and should not be swallowed
Beaumontia,small genus of evergreen woody vines in the East Indies and Asia
Hackery,"""A cart with wooden wheels  drawn by bullocks."""
mountain_clubmoss,of northern Europe and America; resembling a miniature fir
fibroadenoma,a benign tumour of the breast
fibroadenoma,benign and movable and firm and not tender tumor of the breast common in young women and caused by high levels of estrogen
fibroadenoma,benign and movable and firm and not tender tumor of the breast; common in young women and caused by high levels of estrogen
Lanceolate,"""Alt. of Lanceolated"""
nativistic,of or relating to or advocating nativism
wild_climbing_hempweed,herb of tropical America having vanilla-scented flowers; climbs up trees
Fulmine,"""To thunder."""
Fulmine,"""To shoot; to dart like lightning; to fulminate; to utter with authority or vehemence."""
sirius,a star in the constellation canis major the brightest star in the sky approximately light years distant from earth
sirius,also called dog star sothis
sirius,a bluish white star in the constellation canis major alpha α canis majoris
sirius,a vertex of the winter triangle and the brightest star in the night sky
sirius,it is actually a binary star with a white dwarf companion star
sirius,a very white star the brightest in the heavens more than half a magnitude brighter than canopus the next brightest the dog star
sirius,it is situated in the mouth of the dog
sirius,the brightest star in the sky in canis major
sirius,sirius is a binary star system in canis major orion s larger dog
sirius,it is the brightest star in the night sky with a magnitude of
sirius,a star in the constellation canis major the brightest star in the sky approximately light years distant from earth
sirius,also called dog star sothis
sirius,a bluish white star in the constellation canis major alpha α canis majoris
sirius,a vertex of the winter triangle and the brightest star in the night sky
sirius,it is actually a binary star with a white dwarf companion star
sirius,a very white star the brightest in the heavens more than half a magnitude brighter than canopus the next brightest the dog star
sirius,it is situated in the mouth of the dog
sirius,the brightest star in the sky in canis major
sirius,sirius is a binary star system in canis major orion s larger dog
sirius,it is the brightest star in the night sky with a magnitude of
terrorise,fill with terror; frighten greatly
Conjugating,"""of Conjugate"""
Untolerable,"""Intolerable."""
St._Gregory_of_Nazianzen,(Roman Catholic Church) a church father known for his constant fight against perceived heresies; a saint and Doctor of the Church (329-391)
arsehole,the anus
arsehole,an inconsiderate or mean spirited person
arsehole,less vulgar and intense than fucker
arsehole,execretory opening at the end of the alimentary canal
arsehole,vulgar slang for anus
arsehole,vulgar slang for anus
Tactile,"""Of or pertaining to the organs  or the sense of touch; perceiving or perceptible by the touch; capable of being touched; as tactile corpuscles; tactile sensations."""
Daymaid,"""A dairymaid."""
Whist,"""Be silent; be still; hush; silence."""
Whist,"""A certain game at cards; -- so called because it requires silence and close attention. It is played by four persons (those who sit opposite each other being partners) with a complete pack of fifty-two cards. Each player has thirteen cards  and when these are played out he hand is finished and the cards are again shuffled and distributed."""
Whist,"""To hush or silence."""
Whist,"""To be or become silent or still; to be hushed or mute."""
Whist,"""Not speaking; not making a noise; silent; mute; still; quiet."""
Tremolite,"""A white variety of amphibole  or hornblende occurring in long bladelike crystals and coarsely fibrous masses."""
evangelise,alternative spelling of evangelize
evangelise,same as evangelize
evangelise,preach the gospel to
evangelise,convert to christianity
evangelise,convert to Christianity
Slabby,"""Thick; viscous."""
Slabby,"""Sloppy; slimy; miry. See Sloppy."""
Dropwise,"""After the manner of a drop; in the form of drops."""
canned_foods,food preserved by canning
run-down,having the spring unwound
Butchering,"""of Butcher"""
Butchering,"""The business of a butcher."""
Butchering,"""The act of slaughtering; the act of killing cruelly and needlessly."""
sombreness,a manner that is serious and solemn
unrealised,of persons; marked by failure to realize full potentialities
Mittimus,"""A precept or warrant granted by a justice for committing to prison a party charged with crime; a warrant of commitment to prison."""
Mittimus,"""A writ for removing records from one court to another."""
James_Abbott_McNeill_Whistler,United States painter (1834-1903)
sick_benefit,money paid (by the government) to someone who is too ill to work
Haemadromometry,"""Same as Hemadrometry."""
atheism,disbelief in or denial of the existence of god or gods
atheism,the doctrine that there is no god or gods
atheism,belief that no deities exist sometimes including rejection of other religious beliefs
atheism,rejection of belief that any deities exist with or without a belief that no deities exist
atheism,absence of belief that any deities exist including absence of the concept of deities
atheism,absence of belief in a particular deity pantheon or religious doctrine notwithstanding belief in other deities
atheism,the disbelief or denial of the existence of a god or supreme intelligent being
atheism,godlessness
atheism,the doctrine that there is no god denial of the existence of god
atheism,the denial of theism that is of the doctrine that the great first cause is a supreme intelligent righteous person
atheism,a practical indifference to and disregard of god godlessness
atheism,the doctrine or belief that there is no god
atheism,a lack of belief in the existence of god or gods
atheism,atheism is about not believing any god or gods exist
atheism,it is the opposite of theism which is the belief that at least one god exists
atheism,a person who rejects belief in gods is called an atheist
atheism,a lack of belief in the existence of God or gods
Obsequent,"""Obedient; submissive; obsequious."""
tea_service,a set of china or silverware for serving tea
Fakir,"""An Oriental religious ascetic or begging monk."""
Reacher,"""One who reaches."""
Reacher,"""An exaggeration."""
atomic_number_63,a bivalent and trivalent metallic element of the rare earth group
redolence,a pleasingly sweet olfactory property
persia,a vast empire of southwest asia founded by cyrus ii after b c
persia,and brought to the height of its power and glory by darius i and his son xerxes
persia,eventually the empire extended from the indus river valley in present day pakistan to the mediterranean sea before alexander the great conquered it between and b c
persia,see iran
persia,a region in southwestern iran in particular pars fars province
persia,territories corresponding to either of the two empires ruled by dynasts from pars fars specially the first of the two
persia,an empire in southern asia created by cyrus the great in the century bc and destroyed by alexander the great in the century bc
persia,a theocratic islamic republic in the middle east in western asia iran was the core of the ancient empire that was known as persia until rich in oil
persia,a vast empire of southwest asia founded by cyrus ii after b c
persia,and brought to the height of its power and glory by darius i and his son xerxes
persia,eventually the empire extended from the indus river valley in present day pakistan to the mediterranean sea before alexander the great conquered it between and b c
persia,see iran
persia,a region in southwestern iran in particular pars fars province
persia,territories corresponding to either of the two empires ruled by dynasts from pars fars specially the first of the two
persia,an empire in southern asia created by cyrus the great in the century bc and destroyed by alexander the great in the century bc
persia,a theocratic islamic republic in the middle east in western asia iran was the core of the ancient empire that was known as persia until rich in oil
Thider,"""Thither."""
Podilymbus,a genus of Podicipedidae
Galpe,"""To gape ; to yawn."""
balmily,in a mildly insane manner
gladdon,iris with purple flowers and foul-smelling leaves; southern and western Europe and North Africa
nary,not one frequently measures of major import
nary,glide through these chambers with nary a whisper of debate george b
nary,not one
nary,a corruption of ne er a never a the article being sometimes erroneously repeated after the word in which it is contained
nary,used with singular count nouns colloquial for not a or not one or never a
nary,(used with singular count nouns) colloquial for `not a' or `not one' or `never a'
shouted,a loud cry
shouted,to say with or utter a shout
shouted,shout down to overwhelm or silence by shouting loudly
shouted,a loud burst of voice or voices a vehement and sudden outcry especially that of a multitude expressing joy triumph exultation or animated courage
shouted,a round of drinks in a pub the turn to pay the shot or scot an act of paying for a round of drinks
shouted,a call out for an emergency services team
shouted,to utter a sudden and loud outcry as in joy triumph or exultation or to attract attention to animate soldiers etc
shouted,to utter with a shout to cry sometimes with out as to shout or to shout out a man s name
shouted,to treat with shouts or clamor
shouted,to pay for food drink or entertainment for others
shouted,to enter a text message for example email in upper case
shouted,a loud burst of voice or voices a vehement and sudden outcry especially of a multitudes expressing joy triumph exultation or animated courage
shouted,a gratuitous entertainment with refreshments or the like a treat
shouted,to utter a sudden and loud outcry as in joy triumph or exultation or to attract attention to animate soldiers etc
shouted,to entertain with refreshments or the like gratuitously to treat
shouted,to utter with a shout to cry sometimes with out
shouted,to treat with shouts or clamor
shouted,to treat one to something also to give something by way of treating
shouted,to utter a loud significant call or outcry either inarticulate as in laughter calls signals etc or articulate speak in a very loud and vohement manner
shouted,to order drink for another or others as a treat
shouted,to utter in a loud and vehement voice utter with a shout express with raised voice
shouted,a vehement and sudden outcry expressing joy exultation animated courage or other emotion also a loud call to attract attention at a distance to be heard by one hard of hearing or the like
shouted,a small boat nearly flat bottomed and very light used for passing over the drains in various parts of lincolnshire when broader and larger it is used in shooting wild ducks in the marshes
shouted,and is then called a gunning shout
shouted,a treat a free drink
shouted,use foul or abusive language towards
shouted,utter a sudden loud cry
shouted,utter in a loud voice talk in a loud voice usually denoting characteristic manner of speaking
shouted,a loud utterance often in protest or opposition
shouted,utter aloud often with surprise horror or joy
shouted,in a vehement outcry
Rankness,"""The condition or quality of being rank."""
Gerres,type genus of the Gerreidae
Derrida,French philosopher and critic (born in Algeria); exponent of deconstructionism (1930-2004)
Johann_Joachim_Winckelmann,German archaeologist and art historian said to be the father of archaeology (1717-1768)
Transversal,"""Running or lying across; transverse; as  a transversal line."""
Transversal,"""A straight line which traverses or intersects any system of other lines  as a line intersecting the three sides of a triangle or the sides produced."""
seed_cake,a sweet cake flavored with sesame or caraway seeds and lemon
Bosses,"""of Boss"""
Composer,"""One who composes; an author. Specifically  an author of a piece of music."""
Composer,"""One who  or that which quiets or calms; one who adjusts a difference."""
Jean_Louis_Rodolphe_Agassiz,United States naturalist (born in Switzerland) who studied fossil fish; recognized geological evidence that ice ages had occurred in North America (1807-1873)
intelligence_agent,a person secretly employed in espionage for a government
piquancy,the degree to which something is piquant stimulating or exciting
piquancy,the quality or state of being piquant
piquancy,piquant quality
piquancy,keenness sharpness tartness severity as of remark or utterance
piquancy,a tart spicy quality
piquancy,the quality of being agreeably stimulating or mentally exciting
piquancy,the quality of being agreeably stimulating or mentally exciting
mucous_secretion,protective secretion of the mucus membranes; in the gut it lubricates the passage of food and protects the epithelial cells; in the nose and throat and lungs it can make it difficult for bacteria to penetrate the body through the epithelium
Unspeakable,"""Not speakable; incapable of being uttered or adequately described; inexpressible; unutterable; ineffable; as  unspeakable grief or rage."""
red_bearberry,evergreen mat-forming shrub of North America and northern Eurasia having small white flowers and red berries; leaves turn red in autumn
cxlv,being five more than one hundred forty
Quop,"""See Quob."""
Rosa_damascena,large hardy very fragrant pink rose; cultivated in Asia Minor as source of attar of roses; parent of many hybrids
garbanzo,see chickpea
garbanzo,an edible pulse cicer arietinum of the family leguminosae or fabaceae and subfamily faboideae or papilionoideae of which the plant has white or purple blue flowers and small feathery leaves on both sides of the stem and yields pods containing two to three peas
garbanzo,a seed of this plant the chickpea
garbanzo,in porto rico and spanish america generally the chick pea cicer arietinum
garbanzo,see chick pea with cut
garbanzo,large white roundish asiatic legume usually dried
garbanzo,the seed of the chickpea plant
garbanzo,large white roundish Asiatic legume; usually dried
Pernis,a common European bird of prey; dull brown with white-streaked underparts
line_printer,printer that serves as an output device on a computer; prints a whole line of characters at a time
Uncongeal,"""To thaw; to become liquid again."""
islander,an inhabitant of an island
islander,a person who lives on an island
islander,an inhabitant of an island
islander,an inhabitant of an island
islander,an obsolete form of icelander
islander,an inhabitant of an island
islander,an inhabitant of an island
forbiddance,the action of prohibiting or inhibiting or forbidding (or an instance thereof)
cubital_joint,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
family_Hydrophidae,sea snakes
Hemitrope,"""Half turned round; half inverted; (Crystallog.) having a twinned structure."""
Hemitrope,"""That which is hemitropal in construction; (Crystallog.) a twin crystal having a hemitropal structure."""
Sprod,"""A salmon in its second year."""
Uncity,"""To deprive of the rank or rights of a city."""
Glance,"""A sudden flash of light or splendor."""
Glance,"""A quick cast of the eyes; a quick or a casual look; a swift survey; a glimpse."""
Glance,"""An incidental or passing thought or allusion."""
Glance,"""A name given to some sulphides  mostly dark-colored which have a brilliant metallic luster as the sulphide of copper called copper glance."""
Glance,"""To shoot or emit a flash of light; to shine; to flash."""
Glance,"""To strike and fly off in an oblique direction; to dart aside. """"""""Your arrow hath glanced""""""""."""
Glance,"""To look with a sudden  rapid cast of the eye; to snatch a momentary or hasty view."""
Glance,"""To make an incidental or passing reflection; to allude; to hint; -- often with at."""
