,Word,Definition
166,government, the administration of laws
166,government, control
166,government, direction
166,government, regulation
166,government, as  civil church or family government.
167,government,the mode of governing
167,government, the system of polity in a state
167,government, the established form of law.
168,government,the right or power of governing
168,government, authority.
169,government,the person or persons authorized to administer the laws
169,government, the ruling power
169,government, the administration.
170,government,the body politic governed by one authority
170,government, a state
170,government, as  the governments of europe.
171,government,management of the limbs or body.
172,government,the influence of a word in regard to construction  requiring that another word should be in a particular case.
173,motorbike,a lightweight motorcycle
174,motorbike,a pedal bicycle that has an attached motor
175,motorbike,a motorcycle especially a relatively small one
176,motorbike,to ride a motorbike to travel by motorbike
177,motorbike,a light two wheeled vehicle containing a motor for propulsion
178,motorbike,it is lighter in construction and has a lower speed than a motorcycle
179,motorbike,a small motorcycle with a low frame and small weels and elevated handlebars
180,motorbike,a bicyle with a motor attached for propulsion
181,motorbike,small motorcycle with a low frame and small wheels and elevated handlebars
182,motorbike,ride a motorcycle
183,motorbike,small motorcycle with a low frame and small wheels and elevated handlebars
184,megaflop,(computer science) a unit for measuring the speed of a computer system
186,belau,a chain of more than 200 islands about 400 miles long in the western central pacific ocean
187,crabwise,(of movement) at an angle
188,transplant,to uproot and replant a growing plant
189,transplant,to transfer from one place or residence to another resettle or relocate
190,transplant,medicine to transfer tissue or an organ from one body or body part to another
191,transplant,to be capable of undergoing transplantation
192,transplant,the act or process of transplanting
193,transplant,something transplanted
194,transplant,medicine an operation in which tissue or an organ is transplanted undergo a heart transplant surgical transplant of a cornea
195,transplant,to uproot a growing plant and plant it in another place
196,transplant,to remove something and establish its residence in another place to resettle or relocate
197,transplant,to transfer tissue or an organ from one body to another or from one part of a body to another
198,transplant,an act of uprooting and moving something
199,transplant,anything that is transplanted
200,transplant,an operation in which tissue or an organ is transplanted
201,transplant,a transplanted organ or tissue
202,transplant,someone who is not native to their area of residence
203,transplant,to remove and plant in another place
204,transplant,to remove and settle or establish for residence in another place
205,transplant,to plant anew in a different place
206,transplant,in general to remove from one place to another especially to remove and establish for residence in another place
207,transplant,in surgery to transfer from one part of the body or from one person to another
208,transplant,see transplantation
209,transplant,the act or process of transplanting specifically the carrying of bacterial organisms from one medium to another for purposes of culture
210,transplant,that which is transplanted specifically in forestry a seedling which has been transplanted once or several times
211,transplant,surgery tissue or organ transplanted from a donor to a recipient in some cases the patient can be both donor and recipient
212,transplant,place the organ of a donor into the body of a recipient
213,transplant,the act of removing something from one location and introducing it in another location
214,transplant,transfer from one place or period to another
215,transplant,lift and reset in another soil or situation
216,transplant,an operation moving an organ from one organism the donor to another the recipient
217,transplant,be transplantable
218,transplant,the act of removing something from one location and introducing it in another location
219,93,being three more than ninety
220,crotchety,capriciously stubborn or eccentric perverse
221,crotchety,cranky disagreeable or stubborn especially if prone to odd whims or fancies
222,crotchety,given to crotchets subject to whims
223,crotchety,characterized by odd fancies or crotchets fantastic or eccentric in thought whimsical
224,crotchety,having a difficult and contrary disposition
225,crotchety,having a difficult and contrary disposition
225,crotchety, - dorothy sayers
226,leucous,white
226,leucous, -- applied to albinos  from the whiteness of their skin and hair.
227,timbrel,small hand drum similar to a tambourine
227,timbrel, formerly carried by itinerant jugglers
228,peal,a small salmon
228,peal, a grilse
228,peal, a sewin.
229,peal,to appeal.
230,peal,a loud sound  or a succession of loud sounds as of bells thunder cannon shouts of a multitude etc.
231,peal,a set of bells tuned to each other according to the diatonic scale
231,peal, also  the changes rung on a set of bells.
232,peal,to utter or give out loud sounds.
233,peal,to resound
233,peal, to echo.
234,peal,to utter or give forth loudly
234,peal, to cause to give out loud sounds
234,peal, to noise abroad.
235,peal,to assail with noise or loud sounds.
236,peal,to pour out.
237,steeply,in a steep manner
238,preciosity,the quality of being fastidious or excessively refined
240,countersway,a swaying in a contrary direction
240,countersway, an opposing influence.
241,dolabra,a rude ancient ax or hatchet  seen in museums.
242,dietine,a subordinate or local assembly
242,dietine, a diet of inferior rank.
243,straw-colored,being of a straw color. see straw color  under straw n.
245,beefy,having much beef
245,beefy, of the nature of beef
245,beefy, resembling beef
245,beefy, fleshy.
246,whot,hot.
247,galatians,a new testament book containing the epistle from saint paul to the galatians
248,organizability,quality of being organizable
248,organizability, capability of being organized.
250,entranced,of entrance
251,hornless,without horns
252,hornless,having no horn
253,hornless,having no horns
254,hornless,having no horns
255,hornless,having no horns
256,foumart,the european polecat
256,foumart, -- called also european ferret  and fitchew. see polecat.
258,blur,to make indistinct and hazy in outline or appearance obscure
259,blur,to smear or stain smudge
260,blur,to lessen the perception of dim for street children
261,blur,drugs offer the chance to blur their hopeless poverty alma guillermoprieto
262,blur,to become indistinct
263,blur,to make smudges or stains by smearing
264,blur,a smear or blot a smudge
265,blur,something that is hazy and indistinct to the sight or mind
266,blur,to make indistinct or hazy to obscure or dim
267,blur,to smear stain or smudge
268,blur,to become indistinct
269,blur,a smear smudge or blot
270,blur,something that appears hazy or indistinct
271,blur,a moral stain or blot
272,blur,that which obscures without effacing a stain a blot as upon paper or other substance
273,blur,a dim confused appearance indistinctness of vision
274,blur,a moral stain or blot
275,blur,to render obscure by making the form or outline of confused and uncertain as by soiling to smear to make indistinct and confused
276,blur,to cause imperfection of vision in to dim to darken
277,blur,to sully to stain to blemish as reputation
278,blur,to obscure or sully a thing with something which detracts from its fairness or beauty
279,blur,to sully stain blemish as to blur one s reputation
280,blur,to obscure without quite effacing render indistinct confuse and bedim as the outlines of a figure
281,blur,to dim the perception or susceptibility of make dull or insensible to impression as blurred eyesight to blur the judgment
282,blur,to make blurs in writing
283,blur,a smudge or smear such as that made by brushing writing or painting before it is dry a blot which partially defaces or obscures
284,blur,figuratively a blot stain or injury affecting character reputation and the like
285,blur,a blurred condition a dim confused appearance indistinctness
286,blur,a hazy or indistinct representation
287,blur,become vague or indistinct
288,blur,make unclear indistinct or blurred
289,blur,make dim or indistinct
290,blur,make a smudge on soil by smudging
291,blur,to make less distinct or clear
292,blur,become glassy lose clear vision
293,blur,a hazy or indistinct representation
296,stimulatress,a woman who stimulates.
298,peter,to diminish slowly and come to an end dwindle
299,peter,often used with out their enthusiasm soon petered out
300,peter,vulgar slang the penis
301,peter,the penis
302,peter,to dwindle to trail off to diminish to nothing
303,peter,a common baptismal name for a man
304,peter,the name of one of the apostles
305,peter,to become exhausted to run out to fail used generally with out
306,peter,in whist to call for trumps by throwing away a higher card of a suit while holding a smaller
307,peter,to diminish gradually and then cease fail be come exhausted in mining to split up into branches and become lost said of a vein which runs out or disappears so that it can no longer be followed by the miner with out
308,peter,a kind of wine otherwise called peter sec me and peter sameene
309,peter,a kind of cosmetic
310,peter,see blue peter
311,peter,in whist a conventional signal indicating a call for trumps
312,peter,the common american coot fulica americana so called with reference to its color with an allusion to blue peter
313,peter,in thieves cant a traveling bag portmanteau trunk or any piece of baggage or a parcel
314,peter,disciple of jesus and leader of the apostles regarded by catholics as the vicar of christ on earth and first pope
315,peter,obscene terms for penis
316,peter,bible see table at bible
317,peter,the chief of the apostles
318,peter,he is traditionally regarded as the first bishop of rome
319,peter,a male given name
320,peter,the leading apostle in the new testament
321,peter,the epistles of peter in the new testament of the bible peter and peter attributed to st
322,peter,a patronymic surname
323,peter,obscene terms for penis
324,lethargical,pertaining to  affected with or resembling lethargy
324,lethargical, morbidly drowsy
324,lethargical, dull
324,lethargical, heavy.
325,moderation,the act of moderating  or of imposing due restraint.
326,moderation,the state or quality of being mmoderate.
327,moderation,calmness of mind
327,moderation, equanimity
327,moderation, as  to bear adversity with moderation.
328,moderation,the first public examinations for degrees at the university of oxford
328,moderation, -- usually contracted to mods.
329,medevac,the evacuation of persons usually by air transportation to a place where they can receive medical care
330,medevac,air transport of persons to a place where they can receive medical or surgical care medical evacuation
331,medevac,a helicopter or other aircraft used for such transport
332,medevac,to transport a patient to a place where medical care is available
333,medevac,the emergency transportation usually by air of patients to a medical facility
334,medevac,a vehicle used for emergency transportation of patients to a medical facility
335,medevac,trained personnel who care for patients during emergency transportation to a medical facility
336,medevac,to transport patients by medevac
337,medevac,the evacuation of persons (usually by air transportation) to a place where they can receive medical care
338,sls,a caustic detergent useful for removing grease
338,sls, although commonly included in personal care items (shampoos and toothpastes etc.) it can irritate skin and should not be swallowed
339,beaumontia,small genus of evergreen woody vines in the east indies and asia
340,hackery,a cart with wooden wheels  drawn by bullocks.
342,fibroadenoma,a benign tumour of the breast
343,fibroadenoma,benign and movable and firm and not tender tumor of the breast common in young women and caused by high levels of estrogen
344,fibroadenoma,benign and movable and firm and not tender tumor of the breast
344,fibroadenoma, common in young women and caused by high levels of estrogen
345,lanceolate,alt. of lanceolated
346,nativistic,of or relating to or advocating nativism
348,fulmine,to thunder.
349,fulmine,to shoot
349,fulmine, to dart like lightning
349,fulmine, to fulminate
349,fulmine, to utter with authority or vehemence.
350,sirius,a star in the constellation canis major the brightest star in the sky approximately light years distant from earth
351,sirius,also called dog star sothis
352,sirius,a bluish white star in the constellation canis major alpha α canis majoris
353,sirius,a vertex of the winter triangle and the brightest star in the night sky
354,sirius,it is actually a binary star with a white dwarf companion star
355,sirius,a very white star the brightest in the heavens more than half a magnitude brighter than canopus the next brightest the dog star
356,sirius,it is situated in the mouth of the dog
357,sirius,the brightest star in the sky in canis major
358,sirius,sirius is a binary star system in canis major orion s larger dog
359,sirius,it is the brightest star in the night sky with a magnitude of
360,sirius,a star in the constellation canis major the brightest star in the sky approximately light years distant from earth
361,sirius,also called dog star sothis
362,sirius,a bluish white star in the constellation canis major alpha α canis majoris
363,sirius,a vertex of the winter triangle and the brightest star in the night sky
364,sirius,it is actually a binary star with a white dwarf companion star
365,sirius,a very white star the brightest in the heavens more than half a magnitude brighter than canopus the next brightest the dog star
366,sirius,it is situated in the mouth of the dog
367,sirius,the brightest star in the sky in canis major
368,sirius,sirius is a binary star system in canis major orion s larger dog
369,sirius,it is the brightest star in the night sky with a magnitude of
370,terrorise,fill with terror
370,terrorise, frighten greatly
371,conjugating,of conjugate
372,untolerable,intolerable.
374,arsehole,the anus
375,arsehole,an inconsiderate or mean spirited person
376,arsehole,less vulgar and intense than fucker
377,arsehole,execretory opening at the end of the alimentary canal
378,arsehole,vulgar slang for anus
379,arsehole,vulgar slang for anus
380,tactile,of or pertaining to the organs  or the sense of touch
380,tactile, perceiving or perceptible by the touch
380,tactile, capable of being touched
380,tactile, as tactile corpuscles
380,tactile, tactile sensations.
381,daymaid,a dairymaid.
382,whist,be silent
382,whist, be still
382,whist, hush
382,whist, silence.
383,whist,a certain game at cards
383,whist, -- so called because it requires silence and close attention. it is played by four persons (those who sit opposite each other being partners) with a complete pack of fifty-two cards. each player has thirteen cards  and when these are played out he hand is finished and the cards are again shuffled and distributed.
384,whist,to hush or silence.
385,whist,to be or become silent or still
385,whist, to be hushed or mute.
386,whist,not speaking
386,whist, not making a noise
386,whist, silent
386,whist, mute
386,whist, still
386,whist, quiet.
387,tremolite,a white variety of amphibole  or hornblende occurring in long bladelike crystals and coarsely fibrous masses.
388,evangelise,alternative spelling of evangelize
389,evangelise,same as evangelize
390,evangelise,preach the gospel to
391,evangelise,convert to christianity
392,evangelise,convert to christianity
393,slabby,thick
393,slabby, viscous.
394,slabby,sloppy
394,slabby, slimy
394,slabby, miry. see sloppy.
395,dropwise,after the manner of a drop
395,dropwise, in the form of drops.
397,run-down,having the spring unwound
398,butchering,of butcher
399,butchering,the business of a butcher.
400,butchering,the act of slaughtering
400,butchering, the act of killing cruelly and needlessly.
401,sombreness,a manner that is serious and solemn
402,unrealised,of persons
402,unrealised, marked by failure to realize full potentialities
403,mittimus,a precept or warrant granted by a justice for committing to prison a party charged with crime
403,mittimus, a warrant of commitment to prison.
404,mittimus,a writ for removing records from one court to another.
407,haemadromometry,same as hemadrometry.
408,atheism,disbelief in or denial of the existence of god or gods
409,atheism,the doctrine that there is no god or gods
410,atheism,belief that no deities exist sometimes including rejection of other religious beliefs
411,atheism,rejection of belief that any deities exist with or without a belief that no deities exist
412,atheism,absence of belief that any deities exist including absence of the concept of deities
413,atheism,absence of belief in a particular deity pantheon or religious doctrine notwithstanding belief in other deities
414,atheism,the disbelief or denial of the existence of a god or supreme intelligent being
415,atheism,godlessness
416,atheism,the doctrine that there is no god denial of the existence of god
417,atheism,the denial of theism that is of the doctrine that the great first cause is a supreme intelligent righteous person
418,atheism,a practical indifference to and disregard of god godlessness
419,atheism,the doctrine or belief that there is no god
420,atheism,a lack of belief in the existence of god or gods
421,atheism,atheism is about not believing any god or gods exist
422,atheism,it is the opposite of theism which is the belief that at least one god exists
423,atheism,a person who rejects belief in gods is called an atheist
424,atheism,a lack of belief in the existence of god or gods
425,obsequent,obedient
425,obsequent, submissive
425,obsequent, obsequious.
427,fakir,an oriental religious ascetic or begging monk.
428,reacher,one who reaches.
429,reacher,an exaggeration.
431,redolence,a pleasingly sweet olfactory property
432,persia,a vast empire of southwest asia founded by cyrus ii after b c
433,persia,and brought to the height of its power and glory by darius i and his son xerxes
434,persia,eventually the empire extended from the indus river valley in present day pakistan to the mediterranean sea before alexander the great conquered it between and b c
435,persia,see iran
436,persia,a region in southwestern iran in particular pars fars province
437,persia,territories corresponding to either of the two empires ruled by dynasts from pars fars specially the first of the two
438,persia,an empire in southern asia created by cyrus the great in the century bc and destroyed by alexander the great in the century bc
439,persia,a theocratic islamic republic in the middle east in western asia iran was the core of the ancient empire that was known as persia until rich in oil
440,persia,a vast empire of southwest asia founded by cyrus ii after b c
441,persia,and brought to the height of its power and glory by darius i and his son xerxes
442,persia,eventually the empire extended from the indus river valley in present day pakistan to the mediterranean sea before alexander the great conquered it between and b c
443,persia,see iran
444,persia,a region in southwestern iran in particular pars fars province
445,persia,territories corresponding to either of the two empires ruled by dynasts from pars fars specially the first of the two
446,persia,an empire in southern asia created by cyrus the great in the century bc and destroyed by alexander the great in the century bc
447,persia,a theocratic islamic republic in the middle east in western asia iran was the core of the ancient empire that was known as persia until rich in oil
448,thider,thither.
449,podilymbus,a genus of podicipedidae
450,galpe,to gape 
450,galpe, to yawn.
451,balmily,in a mildly insane manner
452,gladdon,iris with purple flowers and foul-smelling leaves
452,gladdon, southern and western europe and north africa
453,nary,not one frequently measures of major import
454,nary,glide through these chambers with nary a whisper of debate george b
455,nary,not one
456,nary,a corruption of ne er a never a the article being sometimes erroneously repeated after the word in which it is contained
457,nary,used with singular count nouns colloquial for not a or not one or never a
458,nary,(used with singular count nouns) colloquial for `not a' or `not one' or `never a'
459,shouted,a loud cry
460,shouted,to say with or utter a shout
461,shouted,shout down to overwhelm or silence by shouting loudly
462,shouted,a loud burst of voice or voices a vehement and sudden outcry especially that of a multitude expressing joy triumph exultation or animated courage
463,shouted,a round of drinks in a pub the turn to pay the shot or scot an act of paying for a round of drinks
464,shouted,a call out for an emergency services team
465,shouted,to utter a sudden and loud outcry as in joy triumph or exultation or to attract attention to animate soldiers etc
466,shouted,to utter with a shout to cry sometimes with out as to shout or to shout out a man s name
467,shouted,to treat with shouts or clamor
468,shouted,to pay for food drink or entertainment for others
469,shouted,to enter a text message for example email in upper case
470,shouted,a loud burst of voice or voices a vehement and sudden outcry especially of a multitudes expressing joy triumph exultation or animated courage
471,shouted,a gratuitous entertainment with refreshments or the like a treat
472,shouted,to utter a sudden and loud outcry as in joy triumph or exultation or to attract attention to animate soldiers etc
473,shouted,to entertain with refreshments or the like gratuitously to treat
474,shouted,to utter with a shout to cry sometimes with out
475,shouted,to treat with shouts or clamor
476,shouted,to treat one to something also to give something by way of treating
477,shouted,to utter a loud significant call or outcry either inarticulate as in laughter calls signals etc or articulate speak in a very loud and vohement manner
478,shouted,to order drink for another or others as a treat
479,shouted,to utter in a loud and vehement voice utter with a shout express with raised voice
480,shouted,a vehement and sudden outcry expressing joy exultation animated courage or other emotion also a loud call to attract attention at a distance to be heard by one hard of hearing or the like
481,shouted,a small boat nearly flat bottomed and very light used for passing over the drains in various parts of lincolnshire when broader and larger it is used in shooting wild ducks in the marshes
482,shouted,and is then called a gunning shout
483,shouted,a treat a free drink
484,shouted,use foul or abusive language towards
485,shouted,utter a sudden loud cry
486,shouted,utter in a loud voice talk in a loud voice usually denoting characteristic manner of speaking
487,shouted,a loud utterance often in protest or opposition
488,shouted,utter aloud often with surprise horror or joy
489,shouted,in a vehement outcry
490,rankness,the condition or quality of being rank.
491,gerres,type genus of the gerreidae
492,derrida,french philosopher and critic (born in algeria)
492,derrida, exponent of deconstructionism (1930-2004)
494,transversal,running or lying across
494,transversal, transverse
494,transversal, as  a transversal line.
495,transversal,a straight line which traverses or intersects any system of other lines  as a line intersecting the three sides of a triangle or the sides produced.
497,bosses,of boss
498,composer,one who composes
498,composer, an author. specifically  an author of a piece of music.
499,composer,one who  or that which quiets or calms
499,composer, one who adjusts a difference.
502,piquancy,the degree to which something is piquant stimulating or exciting
503,piquancy,the quality or state of being piquant
504,piquancy,piquant quality
505,piquancy,keenness sharpness tartness severity as of remark or utterance
506,piquancy,a tart spicy quality
507,piquancy,the quality of being agreeably stimulating or mentally exciting
508,piquancy,the quality of being agreeably stimulating or mentally exciting
510,unspeakable,not speakable
510,unspeakable, incapable of being uttered or adequately described
510,unspeakable, inexpressible
510,unspeakable, unutterable
510,unspeakable, ineffable
510,unspeakable, as  unspeakable grief or rage.
512,cxlv,being five more than one hundred forty
513,quop,see quob.
515,garbanzo,see chickpea
516,garbanzo,an edible pulse cicer arietinum of the family leguminosae or fabaceae and subfamily faboideae or papilionoideae of which the plant has white or purple blue flowers and small feathery leaves on both sides of the stem and yields pods containing two to three peas
517,garbanzo,a seed of this plant the chickpea
518,garbanzo,in porto rico and spanish america generally the chick pea cicer arietinum
519,garbanzo,see chick pea with cut
520,garbanzo,large white roundish asiatic legume usually dried
521,garbanzo,the seed of the chickpea plant
522,garbanzo,large white roundish asiatic legume
522,garbanzo, usually dried
523,pernis,a common european bird of prey
523,pernis, dull brown with white-streaked underparts
525,uncongeal,to thaw
525,uncongeal, to become liquid again.
526,islander,an inhabitant of an island
527,islander,a person who lives on an island
528,islander,an inhabitant of an island
529,islander,an inhabitant of an island
530,islander,an obsolete form of icelander
531,islander,an inhabitant of an island
532,islander,an inhabitant of an island
533,forbiddance,the action of prohibiting or inhibiting or forbidding (or an instance thereof)
536,hemitrope,half turned round
536,hemitrope, half inverted
536,hemitrope, (crystallog.) having a twinned structure.
537,hemitrope,that which is hemitropal in construction
537,hemitrope, (crystallog.) a twin crystal having a hemitropal structure.
538,sprod,a salmon in its second year.
539,uncity,to deprive of the rank or rights of a city.
540,glance,a sudden flash of light or splendor.
541,glance,a quick cast of the eyes
541,glance, a quick or a casual look
541,glance, a swift survey
541,glance, a glimpse.
542,glance,an incidental or passing thought or allusion.
543,glance,a name given to some sulphides  mostly dark-colored which have a brilliant metallic luster as the sulphide of copper called copper glance.
544,glance,to shoot or emit a flash of light
544,glance, to shine
544,glance, to flash.
545,glance,to strike and fly off in an oblique direction
545,glance, to dart aside. your arrow hath glanced.
546,glance,to look with a sudden  rapid cast of the eye
546,glance, to snatch a momentary or hasty view.
547,glance,to make an incidental or passing reflection
547,glance, to allude
547,glance, to hint
547,glance, -- often with at.
548,glance,to move quickly  appearing and disappearing rapidly
548,glance, to be visible only for an instant at a time
548,glance, to move interruptedly
