,Word,Definition
764,torment,an instrument of torture as the rack the thumbscrew or the wheel also the application of such an instrument or the torture caused by it
765,torment,hence anything which causes great pain or suffering a source of trouble sorrow or anguish
766,torment,a state of suffering bodily or mental misery agony
767,torment,an object of torture a victim
768,torment,a tempest a tornado
769,torment,strong synonyms strong anguish torture etc
770,torment,extreme mental distress
771,torment,a feeling of intense annoyance caused by being tormented
772,torment,intense feelings of suffering acute mental or physical pain
773,torment,treat cruelly
774,torment,subject to torture
775,torment,a severe affliction
776,torment,torment emotionally or mentally
777,torment,the act of harassing someone
778,torment,unbearable physical pain
779,torment,the act of harassing someone
783,nubilate,to cloud.
784,gestic,pertaining to deeds or feats of arms
784,gestic, legendary.
785,gestic,relating to bodily motion
785,gestic, consisting of gestures
785,gestic, -- said especially with reference to dancing.
786,journeyman,formerly  a man hired to work by the day
786,journeyman, now commonly one who has mastered a handicraft or trade
786,journeyman, -- distinguished from apprentice and from master workman.
787,identic,identical.
788,oreide,alloy of copper and tin and zinc
788,oreide, used in imitation gold jewelry
789,teetotaling,abstaining from alcohol
790,cursive,running
790,cursive, flowing.
791,cursive,a character used in cursive writing.
792,cursive,a manuscript  especially of the new testament written in small connected characters or in a running hand
792,cursive, -- opposed to uncial.
794,cystitis,inflammation of the bladder.
795,host,an animal or plant that nourishes and supports a parasite
795,host, it does not benefit and is often harmed by the association
796,offa,king of mercia
797,offa,with charlemagne he signed the first recorded english commercial treaty
798,offa,same as affa
799,enjoyable,capable of being enjoyed or of giving joy
799,enjoyable, yielding enjoyment.
801,inaquate,embodied in  or changed into water.
802,disdeign,to disdain.
803,grateful,having a due sense of benefits received
803,grateful, kindly disposed toward one from whom a favor has been received
803,grateful, willing to acknowledge and repay  or give thanks for benefits
803,grateful, as a grateful heart.
804,grateful,affording pleasure
804,grateful, pleasing to the senses
804,grateful, gratifying
804,grateful, delicious
804,grateful, as  a grateful present
804,grateful, food grateful to the palate
804,grateful, grateful sleep.
805,impostrix,a woman who imposes upon or deceives others.
806,debeige,a kind of woolen or mixed dress goods.
809,angelage,existence or state of angels.
810,figaro,an adroit and unscrupulous intriguer.
811,chromatosphere,a chromosphere.
812,hegelism,the system of logic and philosophy set forth by hegel  a german writer (1770-1831).
814,replies,of reply
815,ppl,people
816,ppl,participle
817,ppl,parts per litre
818,ppl,people
819,ppl,participle
820,ppl,parts per litre
821,turbant,a turban.
822,yoked,of yoke
824,struntian,a kind of worsted braid  about an inch broad.
825,quarter-circle,a quarter of the circumference of a circle
826,mensh,a decent responsible person with admirable characteristics
827,aileron,either of two movable flaps on the wings of an airplane that can be used to control the plane s rolling and banking movements
828,aileron,hinged part on trailing edge of an airplane wing
829,aileron,used to control lateral turns
830,aileron,a half gable as at the end of a penthouse or of the aisle of a church
831,aileron,a small plane or surface capable of being manipulated by the pilot of a flying machine to control lateral balance a hinged wing tip a lateral stabilizing or balancing plane
832,aileron,same as ailette
833,aileron,in architecture that piece of the end wall as of nave or transept which covers the end of the aisle roof
834,aileron,it resembles a wing of the main or central structure
835,aileron,an airfoil that controls lateral motion
836,aileron,an airfoil that controls lateral motion
837,commissional,alt. of commissionary
838,disestimation,disesteem.
840,cespitose,(of plants) growing in small dense clumps or tufts
841,miller,one who works in operates or owns a mill especially a grain mill
842,miller,a milling machine
843,miller,any of various moths whose wings and bodies have a powdery appearance
844,miller,a person who owns or operates a mill especially a flour mill
845,miller,a milling machine
846,miller,any of several moths that have powdery wings
847,miller,the common name of a flour smelling mushroom clitopilus prunulus
848,miller,one who keeps or attends a flour mill or gristmill
849,miller,a milling machine
850,miller,a moth or lepidopterous insect so called because the wings appear as if covered with white dust or powder like a miller s clothes
851,miller,called also moth miller
852,miller,the eagle ray
853,miller,the hen harrier
854,miller,one who grinds grain in a mill one who keeps or who attends to a mill especially a grain mill
855,miller,a milling machine
856,miller,a moth whose wings appear as if dusted over with flour or meal like a miller s clothes hence almost any small moth such as fly about lights at night
857,miller,a fish the eagle ray myliobalis aquila a mill skate
858,miller,the hen harrier circus cyaneus
859,miller,a cicada
860,miller,machine tool in which metal that is secured to a carriage is fed against rotating cutters that shape it
861,miller,united states bandleader of a popular big band
862,miller,someone who works in a mill especially a grain mill
863,miller,united states novelist whose novels were originally banned as pornographic
864,miller,united states playwright
865,miller,any of various moths that have powdery wings
866,miller,any of various moths that have powdery wings
867,hilar,belonging to the hilum.
868,eidos,(anthropology) the distinctive expression of the cognitive or intellectual character of a culture or a social group
870,add,to combine a column of figures for example to form a sum
871,add,to join or unite so as to increase in size quantity quality or scope added inches to the deck flowers that added beauty to the dinner table
872,add,to say or write further
873,add,to find a sum in arithmetic
874,add,to constitute an addition an exploit that will add to her reputation
875,add,to create or make an addition gradually added to my meager savings
876,add,add up to be reasonable plausible or consistent make sense the witness s testimony simply did not add up
877,add,add up to amount to an expected total a bill that didn t add up
878,add,add up to formulate an opinion of added up the other competitors in one glance
879,add,add up to to constitute amount to the revisions added up to a lot of work
880,add,to join or unite as one thing to another or as several particulars so as to increase the number augment the quantity or enlarge the magnitude or so as to form into one aggregate
881,add,hence to sum up to put together mentally
882,add,to combine elements of something into one quantity
883,add,to give by way of increased possession to any one to bestow on
884,add,to append as a statement to say further
885,add,to add to to augment to increase
886,add,to perform the arithmetical operation of addition
887,add,an additional enemy that joined the fight after the primary target
888,add,an act or instance of adding
889,add,to add to to augment to increase
890,add,to perform the arithmetical operation of addition
891,add,to give by way of increased possession to any one to bestow on
892,add,to join or unite as one thing to another or as several particulars so as to increase the number augment the quantity enlarge the magnitude or so as to form into one aggregate
893,add,hence to sum up to put together mentally
894,add,to append as a statement to say further
895,add,to join or unite into one sum or aggregate
896,add,to unite join attach annex or subjoin as an augmentation or accretion bring into corporate union or relation with to before the subject of addition and sometimes without an expressed object when this is implied by the subject as add another stone or another stone to the pile he continually added
897,add,to his store to add to one s grief
898,add,to put into the possession of give or grant additionally as to a person
899,add,to be or serve as an addition be added with to as the consciousness of folly often adds to one s regret
900,add,to perform the arithmetical operation of addition
901,add,bestow a quality on
902,add,make an addition to join or combine or unite with others increase the quality quantity size or scope of
903,add,make an addition by combining numbers
904,add,determine the sum of
905,add,constitute an addition
906,add,a condition mostly in boys characterized by behavioral and learning disorders
907,add,state or say further
908,add,to combine a column of figures for example to form a sum
909,add,to join or unite so as to increase in size quantity quality or scope added inches to the deck flowers that added beauty to the dinner table
910,add,to say or write further
911,add,to find a sum in arithmetic
912,add,to constitute an addition an exploit that will add to her reputation
913,add,to create or make an addition gradually added to my meager savings
914,add,add up to be reasonable plausible or consistent make sense the witness s testimony simply did not add up
915,add,add up to amount to an expected total a bill that didn t add up
916,add,add up to formulate an opinion of added up the other competitors in one glance
917,add,add up to to constitute amount to the revisions added up to a lot of work
918,add,to join or unite as one thing to another or as several particulars so as to increase the number augment the quantity or enlarge the magnitude or so as to form into one aggregate
919,add,hence to sum up to put together mentally
920,add,to combine elements of something into one quantity
921,add,to give by way of increased possession to any one to bestow on
922,add,to append as a statement to say further
923,add,to add to to augment to increase
924,add,to perform the arithmetical operation of addition
925,add,an additional enemy that joined the fight after the primary target
926,add,an act or instance of adding
927,add,to add to to augment to increase
928,add,to perform the arithmetical operation of addition
929,add,to give by way of increased possession to any one to bestow on
930,add,to join or unite as one thing to another or as several particulars so as to increase the number augment the quantity enlarge the magnitude or so as to form into one aggregate
931,add,hence to sum up to put together mentally
932,add,to append as a statement to say further
933,add,to join or unite into one sum or aggregate
934,add,to unite join attach annex or subjoin as an augmentation or accretion bring into corporate union or relation with to before the subject of addition and sometimes without an expressed object when this is implied by the subject as add another stone or another stone to the pile he continually added
935,add,to his store to add to one s grief
936,add,to put into the possession of give or grant additionally as to a person
937,add,to be or serve as an addition be added with to as the consciousness of folly often adds to one s regret
938,add,to perform the arithmetical operation of addition
939,add,bestow a quality on
940,add,make an addition to join or combine or unite with others increase the quality quantity size or scope of
941,add,make an addition by combining numbers
942,add,determine the sum of
943,add,constitute an addition
944,add,a condition mostly in boys characterized by behavioral and learning disorders
945,add,state or say further
946,add,make an addition (to)
946,add, join or combine or unite with others
946,add," increase the quality, quantity, size or scope of"
947,turbaned,wearing a turban.
948,grimalkin,an old cat  esp. a she-cat.
949,urchon,the urchin  or hedgehog.
951,educationist,one who is versed in the theories of  or who advocates and promotes education.
952,ciliophora,class of protozoa having cilia or hairlike appendages on part or all of the surface during some part of the life cycle
953,smut,a particle of dirt
954,smut,a smudge made by soot smoke or dirt
955,smut,obscenity in speech or writing
956,smut,pornography
957,smut,any of various plant diseases especially of cereal grasses caused by parasitic fungi of the order ustilaginales that form black powdery masses of spores on the affected parts
958,smut,a fungus causing such a disease
959,smut,to blacken or smudge as with smoke or grime
960,smut,to affect a plant with smut
961,smut,to free grain for example from smut
962,smut,to make obscene
963,smut,to emit smut
964,smut,to be or become blackened or smudged
965,smut,to become affected with smut as a plant
966,smut,soot
967,smut,sexually vulgar material something that is sexual in a dirty way pornographic material
968,smut,a promiscuous classless woman
969,smut,any of a range of fungi mostly ustilaginomycetes that cause plant disease in grasses including cereal crops the disease so caused
970,smut,to stain or be stained with soot etc
971,smut,to gather smut to be converted into smut to become smutted
972,smut,foul matter like soot or coal dust also a spot or soil made by such matter
973,smut,bad soft coal containing much earthy matter found in the immediate locality of faults
974,smut,an affection of cereal grains producing a swelling which is at length resolved into a powdery sooty mass
975,smut,it is caused by parasitic fungi of the genus ustilago
976,smut,ustilago segetum or u
977,smut,carbo is the commonest kind that of indian corn is ustilago maydis
978,smut,obscene language ribaldry obscenity
979,smut,to gather smut to be converted into smut to become smutted
980,smut,to give off smut to crock
981,smut,to stain or mark with smut to blacken with coal soot or other dirty substance
982,smut,to taint with mildew as grain
983,smut,to blacken to sully or taint to tarnish
984,smut,to clear of smut
985,smut,to stain or mark with smut blacken with coal soot or other dirty substance
986,smut,to affect with the disease called smut mildew
987,smut,figuratively to tarnish defile make impure blacken
988,smut,to make obscene
989,smut,to gather smut be converted into smut
990,smut,to give off smut crock
991,smut,in leather manufacturing to go over the blacked side of a hide or skin with a woolen cloth to remove dirt and improve the appearance of the blacking
992,smut,a spot made with soot coal or the like also the fouling matter itself
993,smut,obscene or filthy language
994,smut,a fungous disease of plants affecting especially the cereal plants to many of which it is exceedingly destructive
995,smut,earthy worthless coal such as is often found at the outcrop of a seam
996,smut,in pennsylvania also called black dirt blossom and crop
997,smut,an offensive or indecent word or phrase
998,smut,any fungus of the order ustilaginales
999,smut,creative activity writing or pictures or films etc of no literary or artistic value other than to stimulate sexual desire
1000,smut,a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
1001,smut,become affected with smut
1002,smut,affect with smut or mildew as of a crop such as corn
1003,smut,destructive diseases of plants especially cereal grasses caused by fungi that produce black powdery masses of spores
1004,smut,make obscene
1005,smut,stain with a dirty substance such as soot
1006,smut,creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
1007,soojee,same as suji.
1009,ectethmoid,external to the ethmoid
1009,ectethmoid, prefrontal.
1010,strengest,the original compar. & superl. of strong.
1011,tribble,a frame on which paper is dried.
1012,keratoscleritis,inflammation of the cornea and sclera of the eye
1013,fin,to carve or cut up  as a chub.
1014,fin,end
1014,fin, conclusion
1014,fin, object.
1015,fin,an organ of a fish  consisting of a membrane supported by rays or little bony or cartilaginous ossicles and serving to balance and propel it in the water.
1016,fin,a membranous  finlike swimming organ as in pteropod and heteropod mollusks.
1017,fin,a finlike organ or attachment
1017,fin, a part of an object or product which protrudes like a fin
1018,fin,the hand.
1019,fin,a blade of whalebone.
1020,fin,a mark or ridge left on a casting at the junction of the parts of a mold.
1021,fin,the thin sheet of metal squeezed out between the collars of the rolls in the process of rolling.
1022,fin,a feather
1022,fin, a spline.
1023,fin,a finlike appendage  as to submarine boats.
1024,lancelet,small translucent lancet-shaped burrowing marine animal
1024,lancelet, primitive forerunner of the vertebrates
1025,filo,variant of phyllo
1026,filo,alternative spelling of phyllo
1028,pectose,an amorphous carbohydrate found in the vegetable kingdom  esp. in unripe fruits. it is associated with cellulose and is converted into substances of the pectin group.
1029,atomical,of or pertaining to atoms.
1030,atomical,extremely minute
1030,atomical, tiny.
1031,joan,a female given name a feminine form of john via latin johanna
1032,joan,a woman s close cap worn in the latter part of the eighteenth century
1033,joan,a familiar name for a country girl
1035,horologer,a maker or vender of clocks and watches
1035,horologer, one skilled in horology.
1039,suspense,the condition of being physically suspended
1040,suspense,the state or quality of being undecided uncertain or doubtful
1041,suspense,pleasurable excitement and anticipation regarding an outcome such as the ending of a mystery novel
1042,suspense,anxiety or apprehension resulting from an uncertain undecided or mysterious situation
1043,suspense,the condition of being suspended
1044,suspense,the pleasurable emotion of anticipation and excitement regarding the outcome or climax of a book film etc
1045,suspense,the unpleasant emotion of anxiety or apprehension in an uncertain situation
1046,suspense,held or lifted up held or prevented from proceeding
1047,suspense,expressing or proceeding from suspense or doubt
1048,suspense,the state of being suspended specifically a state of uncertainty and expectation with anxiety or apprehension indetermination indecision
1049,suspense,cessation for a time stop pause
1050,suspense,a temporary cessation of one s right suspension as when the rent or other profits of land cease by unity of possession of land and rent
1051,suspense,to suspend
1052,suspense,held or lifted up suspended
1053,suspense,held in doubt or expectation also expressing or proceeding from suspense or doubt
1054,suspense,the state of being suspended specifically the state of having the mind or thoughts suspended especially a state of uncertainty usually with more or less apprehension or anxiety indetermination indecision
1055,suspense,cessation for a time stop
1056,suspense,suspension a holding in an undetermined state
1057,suspense,in law suspension a temporary cessation of a man s right as when the rent or other profits of land cease by unity of possession of land and rent
1058,suspense,apprehension about what is going to happen
1059,suspense,excited anticipation of an approaching climax
1060,suspense,an uncertain cognitive state
1061,suspense,an uncertain cognitive state
1062,anklets,a sock that reaches just above the ankle
1063,oppugning,of oppugn
1064,confirmator,one who  or that which confirms
1064,confirmator, a confirmer.
1066,neighbourliness,a disposition to be friendly and helpful to neighbors
1068,feebleminded,offensive deficient in intelligence
1069,feebleminded,exhibiting a marked lack of intelligent consideration and forethought feeble minded excuses a feeble minded plan doomed to failure
1070,feebleminded,obsolete irresolute and weak willed
1071,feebleminded,weak in intellectual power wanting firmness or constancy lacking intelligence irresolute vacillating imbecile
1072,feebleminded,weak in intellectual power wanting firmness or constancy irresolute vacillating imbecile
1073,feebleminded,weak in mind
1074,feebleminded,lacking intelligence idiotic
1075,feebleminded,retarded in intellectual development
1076,feebleminded,retarded in intellectual development
1077,gamete,a reproductive cell having the haploid number of chromosomes especially a mature sperm or egg capable of fusing with a gamete of the opposite sex to produce the fertilized egg
1078,gamete,a reproductive cell male sperm or female egg that has only half the usual number of chromosomes
1079,gamete,a sexual cell or germ cell having a single set of unpaired chromosomes a conjugating cell which unites with another of like or unlike character to form a new individual
1080,gamete,in bot gamete designates esp
1081,gamete,the similar sex cells of the lower thallophytes which unite by conjugation forming a zygospore
1082,gamete,the gametes of higher plants are of two sorts sperm male and egg female their union is called fertilization and the resulting zygote an oöspore
1083,gamete,in zoöl gamete is most commonly used of the sexual cells of certain protozoa though also extended to the germ cells of higher forms
1084,gamete,in biology a propagative protoplasmic body which unites with a similar or dissimilar body to form a spore called a zygote the latter being either a zygospore or an oöspore
1085,gamete,mobile gametes resembling zoöspores are called planogametes or zoögametes
1086,gamete,a general term for the mature germ cells either male spermatozoön or female ovum which unite to form the zygote
1087,gamete,a mature sexual reproductive cell having a single set of unpaired chromosomes
1088,gamete,a gamete is a specialized sex cell that fuses with another gamete during fertilization lrb conception rrb in organisms that reproduce sexually
1089,gamete,a mature sexual reproductive cell having a single set of unpaired chromosomes
1090,isoantibody,an antibody that occurs naturally against foreign tissues from a person of the same species
1091,cole,see kale
1092,cole,cabbage
1093,cole,brassica a plant of the brassica genus especially those of brassica oleracea rape and coleseed
1094,cole,a stack or stook of hay
1095,cole,a plant of the brassica or cabbage genus esp
1096,cole,that form of brassica oleracea called rape and coleseed
1097,cole,an obsolete spelling of coal
1098,cole,the general name of all sorts of cabbage or plants of the genus brassica chiefly used in its compounds cole rape cole seed colewort etc
1099,cole,the head
1100,cole,one of the small conical heaps in which hay is usually thrown up in the field after being cut a haycock
1101,cole,treachery deceit falsehood stratagem
1102,cole,coarse curly leafed cabbage
1103,cole,a hardy cabbage with coarse curly leaves that do not form a head
1104,cole,cole nat king originally nathaniel adams coles
1105,cole,american singer and pianist who recorded such popular ballads as unforgettable and mona lisa
1106,cole,cole thomas
1107,cole,english born american painter acknowledged as the leader of the hudson river school america s first painting movement
1108,cole,an english surname possibly a nickname from col old english charcoal coal black
1109,cole,a male given name derived from the surname
1110,cole,coarse curly-leafed cabbage
1111,demission,the act of demitting  or the state of being demitted
1111,demission, a letting down
1111,demission, a lowering
1111,demission, dejection.
1112,demission,resignation of an office.
1114,tutor,a private instructor
1115,tutor,one that gives additional special or remedial instruction
1116,tutor,a teacher or teaching assistant in some universities and colleges having a rank lower than that of an instructor
1117,tutor,a graduate usually a fellow responsible for the supervision of an undergraduate at some british universities
1118,tutor,law the legal guardian of a minor and of the minor s property
1119,tutor,to act as a tutor to instruct or teach privately
1120,tutor,to have the guardianship tutelage or care of
1121,tutor,to function as a tutor
1122,tutor,to be instructed by a tutor study under a tutor
1123,tutor,one who teaches another usually called a student learner or tutee in a one on one or small group interaction
1124,tutor,to instruct or teach especially to an individual or small group
1125,tutor,one who guards protects watches over or has the care of some person or thing
1126,tutor,a treasurer a keeper
1127,tutor,one who has the charge of a child or pupil and his estate a guardian
1128,tutor,a private or public teacher
1129,tutor,an officer or member of some hall who instructs students and is responsible for their discipline
1130,tutor,an instructor of a lower rank than a professor
1131,tutor,to have the guardianship or care of to teach to instruct
1132,tutor,to play the tutor toward to treat with authority or severity
1133,tutor,to have the guardianship or care of
1134,tutor,to instruct teach
1135,tutor,a guardian
1136,tutor,in law the guardian of a boy or girl in pupilarity
1137,tutor,one who has the care of instructing another in various branches or in any branch of learning a private instructor also a teacher or instructor in anything
1138,tutor,universities an officer who is specially intrusted with the care of the undergraduates of his college
1139,tutor,colleges a teacher subordinate to a professor usually appointed for a year or a term of years
1140,tutor,a person who gives private instruction as in singing acting etc
1141,tutor,act as a guardian to someone
1142,tutor,be a tutor to someone give individual instruction
1143,tutor,in british australian new zealand and some canadian universities a tutor is often but not always a postgraduate student or a lecturer who conducts a seminar for undergraduate students
1144,tutor,these seminars are often known as a tutorial
1145,tutor,in the united states and the rest of canada a tutor is known as a teaching assistant
1146,tutor,"a person who gives private instruction (as in singing, acting, etc.)"
1147,concordant,agreeing
1147,concordant, correspondent
1147,concordant, harmonious
1147,concordant, consonant.
1148,evadible,capable of being evaded.
1149,chitin,a white amorphous horny substance forming the harder part of the outer integument of insects  crustacea and various other invertebrates
1149,chitin, entomolin.
1152,flammed,of flam
1153,listed,of list
1154,monogynic,having one head or chief wife at a time (along with concubines)
1156,tentacle,zoology an elongated flexible unsegmented extension as one of those surrounding the mouth or oral cavity of the squid used for feeling grasping or locomotion
1157,tentacle,botany one of the sensitive hairs on the leaves of insectivorous plants such as the sundew
1158,tentacle,a similar part or extension especially with respect to the ability to grasp or stretch an espionage network with far reaching tentacles
1159,tentacle,an elongated boneless flexible organ or limb of some animals such as the octopus and squid
1160,tentacle,a more or less elongated process or organ simple or branched proceeding from the head or cephalic region of invertebrate animals being either an organ of sense prehension or motion
1161,tentacle,in zoology some or any elongated and comparatively slender or flexible process or appendage of an animal used as an organ of touch or for exploration prehension and sometimes locomotion a feeler a tentaculum
1162,tentacle,in botany a kind of sensitive hair or filament such as the glandular hairs of drosera
1163,tentacle,figuratively anything resembling a tentacle a feeler
1164,tentacle,see the adjectives
1165,tentacle,something that acts like a tentacle in its ability to grasp and hold
1166,tentacle,any of various elongated tactile or prehensile flexible organs that occur on the head or near the mouth in many animals used for feeling or grasping or locomotion
1167,tentacle,a tentacle is a part of the body of an animal or plant that can move freely
1168,tentacle,they are like arms
1169,tentacle,some invertebrates like squid sea anemones or hydras have them
1170,tentacle,they use the tentacles to catch food or to grip the sourroundings
1171,tentacle,some carnivorous plants such as the drosera also may have tentacles
1172,tentacle,any of various elongated tactile or prehensile flexible organs that occur on the head or near the mouth in many animals
1172,tentacle, used for feeling or grasping or locomotion
1174,mechanization,the use of machinery to replace human or animal labour especially in agriculture and industry
1175,mechanization,the act or process of mechanizing
1176,mechanization,causing to be performed by machines especially by a highly technical implementation usually involving electronic hardware
1177,mechanization,the condition of having a highly technical implementation
1178,mechanization,the act of implementing the control of equipment with advanced technology usually involving electronic hardware
1179,mechanization,the act of implementing the control of equipment with advanced technology
1179,mechanization, usually involving electronic hardware
1180,doddle,a job task or other activity that is simple or easy to complete
1181,doddle,to toddle
1182,doddle,an easy task
1183,doddle,an easy task
1184,custom-made,made according to the specifications of an individual
1187,tovarich,a comrade (especially in russian communism)
1188,disparadised,removed from paradise.
1189,strangles,a disease in horses and swine  in which the upper part of the throat or groups of lymphatic glands elsewhere swells.
1190,protestation,an emphatic declaration
1191,protestation,a strong or formal expression of dissent
1192,protestation,a formal solemn objection or other declaration
1193,protestation,a declaration in common law pleading by which the party interposes an oblique allegation or denial of some fact protesting that it does or does not exist and at the same time avoiding a direct affirmation or denial
1194,protestation,the act of making a protest a public avowal a solemn declaration especially of dissent
1195,protestation,formerly a declaration in common law pleading by which the party interposes an oblique allegation or denial of some fact protesting that it does or does not exist and at the same time avoiding a direct affirmation or denial
1196,protestation,a solemn or formal declaration of a fact opinion or resolution an asseveration as protestations of friendship or of amendment
1197,protestation,a solemn or formal declaration of dissent a protest
1198,protestation,in law a declaration in pleading by which the party interposed an oblique allegation or denial of some fact by protesting that it did or did not exist and at the same time avoiding a direct affirmation or denial the object being to admit it for the purpose of the present action only and reserve the right to deny it in a future action an exclusion of a conclusion
1199,protestation,a formal and solemn declaration of objection
1200,protestation,a strong declaration of protest
1201,protestation,a strong declaration of protest
1202,incriminatingly,in an incriminating manner
1203,sewn,to make repair or fasten by stitching as with a needle and thread or a sewing machine sew a dress sew on a button
1204,sewn,to furnish with stitches for the purpose of closing fastening or attaching sew an incision closed
1205,sewn,to work with a needle and thread or with a sewing machine
1206,sewn,sew up informal to complete successfully our team has sewn up the championship
1207,sewn,sew up informal to gain complete control of monopolize
1208,sewn,sew up informal to make sure of campaign strategists who were trying to sew up the election results
1209,sewn,to use a needle to pass thread repeatedly through pieces of fabric in order to join them together
1210,sewn,to use a needle to pass thread repeatedly through pieces of fabric in order to join them together
1211,sewn,to drain as a pond for taking the fish
1212,sewn,juice gravy a seasoned dish a delicacy
1213,sewn,to practice sewing to work with needle and thread
1214,sewn,to follow to pursue to sue
1215,sewn,to unite or fasten together by stitches as with a needle and thread
1216,sewn,to close or stop by ssewing often with up
1217,sewn,to inclose by sewing sometimes with up
1218,sewn,to drain as a pond for taking the fish
1219,sewn,to unite join or attach by means of a thread twine wire or other flexible material with or without the aid of a needle awl or other tool
1220,sewn,to put together or construct or to repair as a garment by means of a needle and thread
1221,sewn,to drain dry as land drain off as water
1222,sewn,in falconry to wipe said of a hawk that cleans its beak
1223,sewn,to ooze out
1224,sewn,to serve at table as by carving tasting etc
1225,sewn,an obsolete spelling of sue
1226,sewn,an obsolete or dialectal preterit of sow
1227,sewn,in bookbinding to pass the thread separately through the creased fold of each section of an unbound book
1228,sewn,juice broth gravy hence a pottage a made dish
1229,sewn,a drain a sewer
1230,sewn,fasten by sewing do needlework
1231,sewn,create clothes with cloth
1232,sewn,fastened with stitches
1233,isabella,alt. of isabella color
1234,isabella,the queen of castile whose marriage to ferdinand of aragon in 1469 marked the beginning of the modern state of spain
1234,isabella, they instituted the spanish inquisition in 1478 and sponsored the voyages of christopher columbus in 1492 (1451-1504)
1235,baronetise,confer baronetcy upon
1236,deliberateness,the trait of thoughtfulness in action or decision
1237,pye,see 2d pie (b).
1238,symbololatry,the worship of symbols
1239,blurring,of blur
1240,appendage,something appended to  or accompanying a principal or greater thing though not necessary to it as a portico to a house.
1241,appendage,a subordinate or subsidiary part or organ
1241,appendage, an external organ or limb  esp. of the articulates.
1242,declarable,capable of being declared.
1243,liquor,an alcoholic beverage made by distillation rather than by fermentation
1244,liquor,a rich broth resulting from the prolonged cooking of meat or vegetables especially greens
1245,liquor,also called pot liquor
1246,liquor,an aqueous solution of a nonvolatile substance
1247,liquor,a solution emulsion or suspension for industrial use
1248,liquor,to steep malt for example
1249,liquor,slang to make drunk with alcoholic liquor
1250,liquor,often used with up was all liquored up
1251,liquor,a liquid
1252,liquor,a drinkable liquid
1253,liquor,a liquid obtained by cooking meat or vegetables or both
1254,liquor,strong alcoholic drink derived from fermentation and distillation
1255,liquor,to drink liquor usually to excess
1256,liquor,to cause someone to drink liquor usually to excess
1257,liquor,to grease
1258,liquor,any liquid substance as water milk blood sap juice or the like
1259,liquor,specifically alcoholic or spirituous fluid either distilled or fermented as brandy wine whisky beer etc
1260,liquor,a solution of a medicinal substance in water distinguished from contr tincture contr and contr aqua contr
1261,liquor,to supply with liquor
1262,liquor,to grease
1263,liquor,to moisten drench
1264,liquor,to rub with oil or grease anoint lubricate
1265,liquor,to treat with a liquor apply liquor or a solution to as in various manufacturing operations
1266,liquor,to give liquor to supply with liquor for drinking
1267,liquor,to drink especially to drink spirits often with up
1268,liquor,a liquid or fluid substance as water milk blood sap etc
1269,liquor,a strong or active liquid of any sort
1270,liquor,a strong solution of a particular substance used in the industrial arts
1271,liquor,the liquor of any substance is that substance held in solution and the word used absolutely has meanings differing according to the indnstry in which it is used
1272,liquor,an elixir
1273,liquor,hence any prepared solution as a sugar solution for claying the loaves or a solution of a dye or mordant
1274,liquor,a dilution as in liquor ammoniæ
1275,liquor,in technical latin phrases pronounced li kwôr as in liquor amnii liquor potosseæ etc
1276,liquor,measured in selling with their natural juice as oysters opposed to solid
1277,liquor,an alcoholic beverage that is distilled rather than fermented
1278,liquor,the liquid in which vegetables or meat have be cooked
1279,liquor,a liquid substance that is a solution or emulsion or suspension used or obtained in an industrial process
1280,liquor,the liquid in which vegetables or meat have be cooked
1281,lysosome,a membrane bound organelle in the cytoplasm of most cells containing various hydrolytic enzymes that function in intracellular digestion
1282,lysosome,an organelle found in all types of animal cells which contains a large range of digestive enzymes capable of splitting most biological macromolecules
1283,lysosome,an organelle found in the cytoplasm of most cells especially in leukocytes and liver and kidney cells
1284,lysosome,lysosomes are organelles found in the cytoplasm of a cell
1285,lysosome,lysosomes work like the digestive system to break down or digest proteins acids carbohydrates and other unwanted materials
1286,lysosome,an organelle found in the cytoplasm of most cells (especially in leukocytes and liver and kidney cells)
1287,implausibleness,the quality of provoking disbelief
1289,columnist,a writer of a column in a publication such as a newspaper
1290,columnist,a regular writer of a column such as in a magazine or newspaper
1291,columnist,a journalist who writes or edits a regularly scheduled column in a periodical usually in editorial style a type of editorialist
1292,columnist,a journalist who writes editorials
1293,columnist,a journalist who writes editorials
1294,invected,having a border or outline composed of semicircles with the convexity outward
1294,invected, -- the opposite of engrailed.
1295,kerosene,an oil used for illuminating purposes  formerly obtained from the distillation of mineral wax bituminous shale etc. and hence called also coal oil. it is now produced in immense quantities chiefly by the distillation and purification of petroleum. it consists chiefly of several hydrocarbons of the methane series.
1296,sycophantism,sycophancy.
1298,conditioning,psychology a process of behavior modification by which a subject comes to associate a desired behavior with a previously unrelated stimulus
1299,conditioning,the process of modifying a person s behaviour
1300,conditioning,any preparation or training especially athletic training of the body
1301,conditioning,the storage of a material specimen under specified temperature humidity for a specified time prior to testing
1302,conditioning,present participle of condition
1303,conditioning,a learning process in which an organism s behavior becomes dependent on the occurrence of a stimulus in its environment
1304,conditioning,see conditioned response
1305,conditioning,a learning process in which an organism s behavior becomes dependent on the occurrence of a stimulus in its environment
1306,conditioning,a learning process in which an organism's behavior becomes dependent on the occurrence of a stimulus in its environment
